longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
138.9754781,37.69238713,1382,潟浦新児童遊園,上小吉1481番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,中之口地区,屋外
138.9841629,37.71107278,1388,六分児童遊園,六分813-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,中之口地区,屋外
138.983064,37.68555564,1503,新飯田公園,新飯田1004番地3, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南区,屋外
138.8680857,37.72652655,1317,岩室野球場,西中889番地１, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。, ,屋外
138.8364661,37.7321629,1431,丸小山公園,岩室温泉1661番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,岩室地区,屋外
138.8751118,37.72737527,1449,わなみ農村公園,和納4185番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西蒲区,屋外
138.9489534,37.73524046,1322,打越児童遊園,打越丙427-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,中之口地区,屋外
138.9598617,37.73908537,1383,道上児童遊園,道上414, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,中之口地区,屋外
138.9516669,37.75353108,1436,潟東南公園,今井455番地１, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,潟東地区,屋外
139.0059972,37.753411,1319,千日児童遊園地,西白根21-8, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
138.9838813,37.71803162,1320,針ヶ曽根児童遊園,針ケ曽根401, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,中之口地区,屋外
138.9932589,37.72213959,1370,月潟農村公園,月潟223, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,月潟地区,屋外
138.9822216,37.74053447,1371,木滑農村公園,木滑2104-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,月潟地区,屋外
138.9968076,37.71810581,1372,茨曽根公園,茨曽根32-3432, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
139.0132412,37.7539131,1374,諏訪木公園,戸頭1181-5, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
139.009428,37.75607287,1380,水道公園,上下諏訪木35-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
138.9670457,37.7138359,1381,スポレック中之口駐車場,中之口298, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,中之口地区,屋外
139.0072808,37.75605582,1384,五軒茶屋児童遊園地,西白根1009-57, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
138.9658172,37.72747525,1387,河間児童遊園,河間169, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,中之口地区,屋外
139.0054856,37.75606633,1404,白根第２農村公園,西白根262, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
138.9678473,37.71734882,1406,中之口出張所駐車場,中之口626, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,中之口地区,屋外
138.9792039,37.73699519,1412,西部児童遊園,東長嶋89-3, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,月潟地区,屋外
139.0045165,37.74755494,1413,曲通児童遊園,上曲通61-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,月潟地区,屋外
138.9937515,37.7168778,1414,大別当児童遊園,大別当659-2, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,月潟地区,屋外
138.9998434,37.73122591,1415,西萱場農村公園,西萱場95-5, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,月潟地区,屋外
138.9929017,37.72642523,1416,月潟商工会脇駐車場,大別当2668, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,月潟地区,屋外
138.9917788,37.72874446,1417,月潟出張所駐車場,月潟535, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,月潟地区,屋外
138.9965917,37.73360366,1418,月潟野球場,西萱場1115, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,月潟地区,屋外
139.0418806,37.72090758,1330,庄瀬公園,菱潟新田1番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南区,屋外
139.0656236,37.72865799,1333,水田農村公園,水田39番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.0680501,37.74228397,1390,横水児童遊園,小向1744番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.0844359,37.73175756,1408,鎌倉農村公園,鎌倉新田273番地2, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.0730889,37.74558219,1409,横川浜農村公園,横川浜460番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.0905227,37.74115922,1411,小須戸運動広場,矢代田1番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.0954778,37.75001924,1332,舟戸公園,矢代田1238番地5, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.0968372,37.74434802,1392,山ノ手公園,矢代田5012番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
138.8666304,37.79057119,1527,上堰潟公園,松野尾1番地, , ,広域避難場所に指定しています。　・地震発生後、火災の延焼拡大等により一時避難場所が危険な状況になった場合の避難場所として市が指定しています。,西蒲区,屋外
